,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
179,"jealousy, jealousy","Olivia Rodrigo",664244,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
180,"Me Fije","Alex Rose",659409,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
181,911,Sech,658520,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
182,Éxtasis,"Millonario & W. Corona",658472,https://open.spotify.com/track/4xbMF8jx0msGGgrtJaAuXE
183,"HACIENDO QUE ME AMAS","Bad Bunny",656058,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
184,Desvelado,"Bobby Pulido",655891,https://open.spotify.com/track/2JJSGhPpATm8lXeYjD95fw
185,"Dance Monkey","Tones And I",653513,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
186,Poblado,Crissin,649895,https://open.spotify.com/track/47gSYfwFBbV1BXHfXEq1qs
187,"Se Te Nota (with Guaynaa)","Lele Pons",648198,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
188,"Somos Los Que Somos - En Vivo","Los 2 de la S",642843,https://open.spotify.com/track/1Z04XN4pH2b8JfdiaIEkl5
189,"El Amor Soñado","Los Tucanes De Tijuana",640742,https://open.spotify.com/track/587p8shYuTXUhThG3t9x60
190,"Tal Vez","Paulo Londra",638254,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
191,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,637694,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
192,"Tattoo - Remix with Camilo","Rauw Alejandro",635378,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
193,"The Business",Tiësto,633204,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
194,Prometiste,"Pepe Aguilar",632125,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
195,"Fuerte No Soy",Intocable,630133,https://open.spotify.com/track/7A07Yu1dRND3RKDzbhKrDs
196,"Don't Go Yet","Camila Cabello",628016,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
197,"Every Breath You Take","The Police",627561,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
198,Colapso,"Kevin Kaarl",624914,https://open.spotify.com/track/7dT9D6117e5DbhnKxDLNW9
199,Dynamite,BTS,623533,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
200,"Una Vez","Bad Bunny",622836,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
